"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"19-Apr-2024","EQ","1,347.00","1,357.70","1,335.00","1,347.30","1,347.00","1,345.75","1,346.28","1,519.00","896.30","11,73,025","1,57,92,25,189.30","83,309"
"18-Apr-2024","EQ","1,376.00","1,383.65","1,342.40","1,375.20","1,353.65","1,347.30","1,363.41","1,519.00","896.30","29,74,196","4,05,50,47,339.35","1,43,913"
"16-Apr-2024","EQ","1,385.00","1,391.95","1,371.55","1,381.40","1,379.60","1,375.20","1,381.08","1,519.00","896.30","14,33,760","1,98,01,33,919.50","72,776"
"15-Apr-2024","EQ","1,389.95","1,399.00","1,375.55","1,396.80","1,382.75","1,381.40","1,385.91","1,519.00","896.30","11,25,072","1,55,92,51,145.75","70,170"
"12-Apr-2024","EQ","1,423.00","1,424.85","1,388.00","1,422.95","1,399.55","1,396.80","1,404.85","1,519.00","894.20","21,90,583","3,07,74,36,962.60","1,04,608"
"10-Apr-2024","EQ","1,453.15","1,455.30","1,406.00","1,450.30","1,426.00","1,422.95","1,421.81","1,519.00","894.20","24,93,253","3,54,49,32,850.20","1,10,136"
"09-Apr-2024","EQ","1,467.75","1,470.00","1,447.10","1,462.45","1,449.00","1,450.30","1,454.27","1,519.00","894.20","12,25,255","1,78,18,50,822.60","29,905"
"08-Apr-2024","EQ","1,457.15","1,472.85","1,449.40","1,449.40","1,461.20","1,462.45","1,465.01","1,519.00","894.20","10,39,235","1,52,24,84,906.15","55,365"
"05-Apr-2024","EQ","1,439.00","1,474.00","1,437.50","1,459.55","1,447.60","1,449.40","1,455.47","1,519.00","886.30","12,11,684","1,76,35,72,382.05","57,669"
"04-Apr-2024","EQ","1,479.00","1,481.20","1,445.10","1,471.50","1,458.05","1,459.55","1,459.55","1,519.00","886.30","14,74,799","2,15,25,49,062.15","1,08,741"
"03-Apr-2024","EQ","1,493.35","1,501.55","1,467.00","1,489.40","1,471.75","1,471.50","1,480.56","1,519.00","886.30","14,65,540","2,16,98,19,910.55","68,606"
